carrier,data,price,features
Virgin,8GB,$45/mo,Get an 8GB bonus on 50GB forÂ $45/mo.
Virgin,8GB,$45,Bonus 8GB available on all $45+ plans.
Virgin,50GB,$70,"Shop online and save $70*. Plus, bring your own phone and activate in minutes with eSIM.; Unlimited talk and text plus lots of 4G LTE data.; 50GB data, talk & text; 50GB data, talk & text"
Virgin,8GB,$45/MO,Unlimited Canada-wide calling & texting; Unlimited international texting from Canada; $45/MO; New activations only. Bonus: 8GB of data will be applied to your account.
Virgin,75GB,$55/MO,"75GB data, talk & text; 75GB data, talk & text; Unlimited Canada-wide calling & texting; Unlimited international texting from Canada; $55/MO"
Virgin,8GB,$30/MO,New activations only. Bonus: 8GB of data will be applied to your account.; Unlimited talk and text.; Unlimited Canada-wide calling & texting; $30/MO
Virgin,250MB,$19/MO,"250MB data, talk & text; 250MB data, talk & text; 100 outgoing calls minutes+ Unlimited incoming; Unlimited Canada-wide texting; $19/MO"
Virgin,3GB,$39/MO,"3GB data, talk & text; 3GB data, talk & text; Unlimited Canada-wide calling & texting; $39/MO"
Fido,2GB,$37.50,"Data, Talk & Text; Talk & Text; All Data, Talk & Text plans (4G LTE Speeds) include; 2GB, Talk & Text - BYOP; 2GB, Talk & Text - BYOP; Unlimited Canada-wide calling 10; $37.50 per mo."
Fido,60GB,$55.00/mo,"Now 60GB! Includes 10GB of bonus data for 24 months.; 50GB, Talk & Text - BYOP; Unlimited Canada-wide calling 10; $55.00/mo."
Fido,10GB,$45.00,$45.00 per mo.; Eligible for a 10GB included per month
Fido,80GB,$65.00/mo,"Now 80GB! Includes 5GB of bonus data for 24 months.; 75GB, Talk & Text - BYOP; Unlimited Canada-wide calling 10; $65.00/mo."
Fido,5GB,$55.00,$55.00 per mo.; Eligible for a 5GB included per month
